candidate_id,rank,score,reasoning
CAND_0069905,1,1.039584,"Applied ML Engineer with 6.6 years of experience in Bhubaneswar, Odisha; profile-listed technical strengths include Sentence Transformers, LoRA, Weaviate."
CAND_0055905,2,1.003976,"Senior Machine Learning Engineer with 8.1 years of experience in London; profile-listed technical strengths include OpenSearch, LangChain, Elasticsearch."
CAND_0041669,3,1.003441,"Recommendation Systems Engineer with 8.0 years of experience in Noida, Uttar Pradesh; profile-listed technical strengths include Milvus, Semantic Search, Information Retrieval."
CAND_0011687,4,0.995528,"Senior NLP Engineer with 7.8 years of experience in Indore, Madhya Pradesh; profile-listed technical strengths include LangChain, LlamaIndex, OpenSearch."
CAND_0017960,5,0.992575,"Recommendation Systems Engineer with 7.7 years of experience in Bangalore, Karnataka; profile-listed technical strengths include QLoRA, BentoML, Information Retrieval."
CAND_0046064,6,0.990099,"Senior NLP Engineer with 8.9 years of experience in Coimbatore, Tamil Nadu; profile-listed technical strengths include Pinecone, Elasticsearch, Python."
CAND_0088025,7,0.988972,"Staff Machine Learning Engineer with 8.6 years of experience in Jaipur, Rajasthan; profile-listed technical strengths include LLMs, Elasticsearch, Python."
CAND_0083307,8,0.977223,"Search Engineer with 7.8 years of experience in Vizag, Andhra Pradesh; profile-listed technical strengths include Python, Weaviate, Vector Search."
CAND_0027801,9,0.971228,"NLP Engineer with 7.4 years of experience in Hyderabad, Telangana; profile-listed technical strengths include Milvus, QLoRA, FAISS."
CAND_0030953,10,0.960512,"Search Engineer with 7.8 years of experience in Chennai, Tamil Nadu; profile-listed technical strengths include Qdrant, Weaviate, pgvector."
CAND_0039754,11,0.952376,"Senior Applied Scientist with 16.2 years of experience in Indore, Madhya Pradesh; profile-listed technical strengths include Python, OpenSearch, pgvector."
CAND_0064326,12,0.93989,"Search Engineer with 7.6 years of experience in Gurgaon, Haryana; profile-listed technical strengths include Weaviate, Python, QLoRA."
CAND_0044222,13,0.93649,"AI Engineer with 7.7 years of experience in Vizag, Andhra Pradesh; profile-listed technical strengths include OpenSearch, LlamaIndex, Hugging Face Transformers."
CAND_0086151,14,0.935472,"Recommendation Systems Engineer with 7.7 years of experience in Vizag, Andhra Pradesh; profile-listed technical strengths include Qdrant, Elasticsearch, LangChain."
CAND_0068811,15,0.931812,"Applied ML Engineer with 8.0 years of experience in Pune, Maharashtra; profile-listed technical strengths include Pinecone, OpenSearch, Qdrant."
CAND_0070485,16,0.916706,"Search Engineer with 6.4 years of experience in Coimbatore, Tamil Nadu; profile-listed technical strengths include Recommendation Systems, QLoRA, FAISS."
CAND_0053591,17,0.904908,"AI Engineer with 5.3 years of experience in Toronto; profile-listed technical strengths include Sentence Transformers, OpenSearch, Qdrant."
CAND_0010770,18,0.902141,"Recommendation Systems Engineer with 15.2 years of experience in Kolkata, West Bengal; profile-listed technical strengths include Qdrant, pgvector, LlamaIndex."
CAND_0011432,19,0.900103,"Senior Data Scientist with 7.6 years of experience in Chennai, Tamil Nadu; profile-listed technical strengths include pgvector, OpenSearch, QLoRA."
CAND_0042100,20,0.900087,"Machine Learning Engineer with 7.3 years of experience in Singapore; profile-listed technical strengths include QLoRA, Recommendation Systems, LLMs."
CAND_0049896,21,0.894327,"Search Engineer with 7.3 years of experience in Vizag, Andhra Pradesh; profile-listed technical strengths include Information Retrieval, LlamaIndex, Fine-tuning LLMs."
CAND_0006557,22,0.890976,"NLP Engineer with 7.9 years of experience in Jaipur, Rajasthan; profile-listed technical strengths include OpenSearch, FAISS, Qdrant."
CAND_0094759,23,0.878955,"Lead AI Engineer with 8.6 years of experience in Mumbai, Maharashtra; profile-listed technical strengths include Hugging Face Transformers, Weaviate, Semantic Search."
CAND_0091534,24,0.850435,"AI Engineer with 16.6 years of experience in Gurgaon, Haryana; profile-listed technical strengths include LangChain, LlamaIndex, Diffusion Models."
CAND_0080766,25,0.849071,"Staff Machine Learning Engineer with 8.8 years of experience in Coimbatore, Tamil Nadu; profile-listed technical strengths include Search Infrastructure, Search & Discovery, Python."
CAND_0006567,26,0.846352,"Senior AI Engineer with 7.9 years of experience in Noida, Uttar Pradesh; profile-listed technical strengths include Model Adaptation, Ranking Systems, Python."
CAND_0033861,27,0.844576,"Senior NLP Engineer with 8.0 years of experience in Vizag, Andhra Pradesh; profile-listed technical strengths include LLMs, LlamaIndex, Elasticsearch."
CAND_0019480,28,0.843279,"NLP Engineer with 2.8 years of experience in Chennai, Tamil Nadu; profile-listed technical strengths include LLMs, Milvus, OpenSearch."
CAND_0093331,29,0.840913,"NLP Engineer with 16.1 years of experience in Kochi, Kerala; profile-listed technical strengths include LangChain, QLoRA, BentoML."
CAND_0007411,30,0.830286,"Senior Machine Learning Engineer with 8.0 years of experience in Kochi, Kerala; profile-listed technical strengths include OpenSearch, Information Retrieval, Pinecone."
CAND_0037980,31,0.826842,"Senior Applied Scientist with 9.0 years of experience in Kolkata, West Bengal; profile-listed technical strengths include LoRA, NLP, Information Retrieval Systems."
CAND_0099401,32,0.826803,"NLP Engineer with 7.7 years of experience in Ahmedabad, Gujarat; profile-listed technical strengths include Qdrant, Embeddings, Semantic Search."
CAND_0061257,33,0.817673,"Staff Machine Learning Engineer with 8.0 years of experience in Noida, Uttar Pradesh; profile-listed technical strengths include Model Adaptation, Python, Search Infrastructure."
CAND_0067866,34,0.816052,"Senior Software Engineer (ML) with 6.4 years of experience in Noida, Uttar Pradesh; profile-listed technical strengths include pgvector, Elasticsearch, LoRA."
